R_eff,q_conv,q_rad_published,q_total
2.250501672240803,3474466.865122469,11107452.507210344,14581919.372332813
2.259531772575251,3467517.1522444533,11121731.793321429,14589248.945565883
2.2685618729096992,3460608.9761808175,11135972.373822672,14596581.35000349
2.277591973244147,3453741.924813611,11150174.507075053,14603916.431888664
2.2866220735785956,3446915.591726762,11164338.448698841,14611254.040425602
2.2956521739130435,3440129.576105052,11178464.451613363,14618594.027718415
2.3046822742474915,3433383.482635261,11192552.766076047,14625936.248711308
2.31371237458194,3426676.9214094444,11206603.639720736,14633280.561130181
2.322742474916388,3420009.5078302757,11220617.31759531,14640626.825425586
2.3317725752508363,3413380.8625184144,11234594.042198641,14647974.904717056
2.340802675585284,3406790.6112218285,11248534.053516842,14655324.66473867
2.3498327759197326,3400238.3847270478,11262437.5890589,14662675.973785948
2.3588628762541806,3393723.818772282,11276304.883891651,14670028.702663934
2.3678929765886285,3387246.553962362,11290136.170674132,14677382.724636495
2.376923076923077,3380806.2356854626,11303931.679691311,14684737.915376773
2.385953177257525,3374402.5140315597,11317691.638887245,14692094.152918804
2.3949832775919733,3368035.043712577,11331416.273897616,14699451.317610193
2.4040133779264212,3361703.4839841914,11345105.808081737,14706809.292065928
2.4130434782608696,3355407.4985692427,11358760.462553939,14714167.961123182
2.4220735785953176,3349146.7555827145,11372380.45621447,14721527.211797185
2.431103678929766,3342920.9274582556,11385966.00577981,14728886.933238067
2.440133779264214,3336729.690876193,11399517.325812485,14736247.016688678
2.4491638795986623,3330572.7266930076,11413034.628750356,14743607.355443364
2.4581939799331103,3324449.719872237,11426518.124935396,14750967.844807632
2.4672240802675587,3318360.3594167675,11439968.022642005,14758328.382058773
2.4762541806020066,3312304.338302491,11453384.528104784,14765688.866407275
2.4852842809364546,3306281.3534132824,11466767.845545892,14773049.198959174
2.494314381270903,3300291.1054772763,11480118.177201912,14780409.282679189
2.503344481605351,3294333.2990044104,11493435.723350268,14787769.022354677
2.5123745819397993,3288407.6422252017,11506720.682335172,14795128.324560374
2.5214046822742473,3282513.8470307314,11519973.250593193,14802487.097623924
2.5304347826086957,3276651.628913807,11533193.622678341,14809845.251592148
2.5394648829431437,3270820.70691128,11546381.99128675,14817202.698198032
2.548494983277592,3265020.803547484,11559538.547280977,14824559.350828461
2.55752508361204,3259251.6447787764,11572663.479713844,14831915.124492621
2.5665551839464884,3253512.9599391497,11585756.975851962,14839269.935791112
2.5755852842809364,3247804.4816868994,11598819.221198784,14846623.702885684
2.5846153846153848,3242125.945952307,11611850.399517346,14853976.345469654
2.5936454849498327,3236477.0918863383,11624850.692852601,14861327.78473894
2.602675585284281,3230857.661810312,11637820.281553416,14868677.943363728
2.611705685618729,3225267.4011665285,11650759.344294174,14876026.745460702
2.620735785953177,3219706.0584698385,11663668.058096077,14883374.116565917
2.6297658862876254,3214173.3852601233,11676546.598348057,14890719.98360818
2.6387959866220734,3208669.136055673,11689395.138827376,14898064.274883049
2.6478260869565218,3203193.068307436,11702213.851719916,14905406.920027353
2.6568561872909697,3197744.94235413,11715002.907640096,14912747.849994225
2.665886287625418,3192324.5213781847,11727762.475650514,14920086.997028697
2.674916387959866,3186931.571362507,11740492.72328126,14927424.294643767
2.6839464882943145,3181565.8610480432,11753193.81654894,14934759.677596983
2.6929765886287624,3176227.161892131,11765865.91997537,14942093.081867501
2.702006688963211,3170915.2480276083,11778509.196606008,14949424.444633616
2.711036789297659,3165629.896222682,11791123.808028087,14956753.70425077
2.720066889632107,3160370.8858415205,11803709.914388468,14964080.800229989
